wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_161149-xtovi8rv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fiery-violet-5
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/xtovi8rv
Run name: fiery-violet-5.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 026600/100000. train loss : 2.471. valid loss : 2.465. lr : 0.00100. uptime : 00h39min. ETA : 01h46min.
Iter 026800/100000. train loss : 2.457. valid loss : 2.461. lr : 0.00100. uptime : 00h40min. ETA : 01h46min.
Iter 027000/100000. train loss : 2.470. valid loss : 2.466. lr : 0.00100. uptime : 00h40min. ETA : 01h48min.
Iter 027200/100000. train loss : 2.468. valid loss : 2.463. lr : 0.00100. uptime : 00h40min. ETA : 01h45min.
Iter 027400/100000. train loss : 2.462. valid loss : 2.465. lr : 0.00100. uptime : 00h40min. ETA : 01h45min.
Iter 027600/100000. train loss : 2.472. valid loss : 2.466. lr : 0.00100. uptime : 00h41min. ETA : 01h45min.
Iter 027800/100000. train loss : 2.467. valid loss : 2.465. lr : 0.00100. uptime : 00h41min. ETA : 01h44min.
Iter 028000/100000. train loss : 2.457. valid loss : 2.464. lr : 0.00100. uptime : 00h41min. ETA : 01h46min.
Iter 028200/100000. train loss : 2.460. valid loss : 2.464. lr : 0.00100. uptime : 00h42min. ETA : 01h44min.
Iter 028400/100000. train loss : 2.468. valid loss : 2.464. lr : 0.00100. uptime : 00h42min. ETA : 01h43min.
Iter 028600/100000. train loss : 2.469. valid loss : 2.466. lr : 0.00100. uptime : 00h42min. ETA : 01h43min.
Iter 028800/100000. train loss : 2.462. valid loss : 2.466. lr : 0.00100. uptime : 00h43min. ETA : 01h43min.
Iter 029000/100000. train loss : 2.462. valid loss : 2.465. lr : 0.00100. uptime : 00h43min. ETA : 01h45min.
Iter 029200/100000. train loss : 2.454. valid loss : 2.464. lr : 0.00100. uptime : 00h43min. ETA : 01h42min.
Iter 029400/100000. train loss : 2.469. valid loss : 2.463. lr : 0.00100. uptime : 00h43min. ETA : 01h42min.
Iter 029600/100000. train loss : 2.462. valid loss : 2.466. lr : 0.00100. uptime : 00h44min. ETA : 01h42min.
Iter 029800/100000. train loss : 2.466. valid loss : 2.464. lr : 0.00100. uptime : 00h44min. ETA : 01h42min.
Iter 030000/100000. train loss : 2.477. valid loss : 2.466. lr : 0.00100. uptime : 00h44min. ETA : 01h43min.
Iter 030200/100000. train loss : 2.461. valid loss : 2.464. lr : 0.00100. uptime : 00h45min. ETA : 01h43min.
Iter 030400/100000. train loss : 2.463. valid loss : 2.465. lr : 0.00100. uptime : 00h45min. ETA : 01h40min.
Iter 030600/100000. train loss : 2.459. valid loss : 2.462. lr : 0.00100. uptime : 00h45min. ETA : 01h40min.
Iter 030800/100000. train loss : 2.467. valid loss : 2.464. lr : 0.00100. uptime : 00h45min. ETA : 01h39min.
Iter 031000/100000. train loss : 2.463. valid loss : 2.461. lr : 0.00100. uptime : 00h46min. ETA : 01h42min.
Iter 031200/100000. train loss : 2.469. valid loss : 2.463. lr : 0.00100. uptime : 00h46min. ETA : 01h39min.
Iter 031400/100000. train loss : 2.475. valid loss : 2.465. lr : 0.00100. uptime : 00h46min. ETA : 01h39min.
Iter 031600/100000. train loss : 2.466. valid loss : 2.464. lr : 0.00100. uptime : 00h47min. ETA : 01h38min.
Iter 031800/100000. train loss : 2.462. valid loss : 2.463. lr : 0.00100. uptime : 00h47min. ETA : 01h38min.
Iter 032000/100000. train loss : 2.468. valid loss : 2.463. lr : 0.00100. uptime : 00h47min. ETA : 01h40min.
Iter 032200/100000. train loss : 2.461. valid loss : 2.462. lr : 0.00100. uptime : 00h48min. ETA : 01h38min.
Iter 032400/100000. train loss : 2.465. valid loss : 2.463. lr : 0.00100. uptime : 00h48min. ETA : 01h38min.
Iter 032600/100000. train loss : 2.470. valid loss : 2.465. lr : 0.00100. uptime : 00h48min. ETA : 01h37min.
Iter 032800/100000. train loss : 2.469. valid loss : 2.463. lr : 0.00100. uptime : 00h48min. ETA : 01h36min.
Iter 033000/100000. train loss : 2.469. valid loss : 2.464. lr : 0.00100. uptime : 00h49min. ETA : 01h38min.
Iter 033200/100000. train loss : 2.465. valid loss : 2.465. lr : 0.00100. uptime : 00h49min. ETA : 01h36min.
Iter 033400/100000. train loss : 2.464. valid loss : 2.462. lr : 0.00100. uptime : 00h49min. ETA : 01h36min.
Iter 033600/100000. train loss : 2.455. valid loss : 2.463. lr : 0.00100. uptime : 00h50min. ETA : 01h36min.
Iter 033800/100000. train loss : 2.470. valid loss : 2.465. lr : 0.00100. uptime : 00h50min. ETA : 01h36min.
Iter 034000/100000. train loss : 2.461. valid loss : 2.462. lr : 0.00100. uptime : 00h50min. ETA : 01h38min.
Iter 034200/100000. train loss : 2.465. valid loss : 2.464. lr : 0.00100. uptime : 00h50min. ETA : 01h34min.
Iter 034400/100000. train loss : 2.461. valid loss : 2.465. lr : 0.00100. uptime : 00h51min. ETA : 01h35min.
Iter 034600/100000. train loss : 2.462. valid loss : 2.463. lr : 0.00100. uptime : 00h51min. ETA : 01h34min.
Iter 034800/100000. train loss : 2.475. valid loss : 2.467. lr : 0.00100. uptime : 00h51min. ETA : 01h34min.
Iter 035000/100000. train loss : 2.462. valid loss : 2.463. lr : 0.00100. uptime : 00h52min. ETA : 01h36min.
Iter 035200/100000. train loss : 2.465. valid loss : 2.464. lr : 0.00100. uptime : 00h52min. ETA : 01h34min.
Iter 035400/100000. train loss : 2.461. valid loss : 2.464. lr : 0.00100. uptime : 00h52min. ETA : 01h33min.
Iter 035600/100000. train loss : 2.460. valid loss : 2.463. lr : 0.00100. uptime : 00h53min. ETA : 01h32min.
Iter 035800/100000. train loss : 2.466. valid loss : 2.463. lr : 0.00100. uptime : 00h53min. ETA : 01h32min.
Iter 036000/100000. train loss : 2.463. valid loss : 2.462. lr : 0.00100. uptime : 00h53min. ETA : 01h34min.
Iter 036200/100000. train loss : 2.465. valid loss : 2.463. lr : 0.00100. uptime : 00h53min. ETA : 01h31min.
Iter 036400/100000. train loss : 2.458. valid loss : 2.463. lr : 0.00100. uptime : 00h54min. ETA : 01h31min.
Iter 036600/100000. train loss : 2.465. valid loss : 2.463. lr : 0.00100. uptime : 00h54min. ETA : 01h31min.
Iter 036800/100000. train loss : 2.469. valid loss : 2.464. lr : 0.00100. uptime : 00h54min. ETA : 01h31min.
Iter 037000/100000. train loss : 2.466. valid loss : 2.463. lr : 0.00100. uptime : 00h55min. ETA : 01h32min.
Iter 037200/100000. train loss : 2.462. valid loss : 2.463. lr : 0.00100. uptime : 00h55min. ETA : 01h30min.
Iter 037400/100000. train loss : 2.468. valid loss : 2.465. lr : 0.00100. uptime : 00h55min. ETA : 01h30min.
Iter 037600/100000. train loss : 2.457. valid loss : 2.463. lr : 0.00100. uptime : 00h55min. ETA : 01h29min.
Iter 037800/100000. train loss : 2.457. valid loss : 2.463. lr : 0.00100. uptime : 00h56min. ETA : 01h29min.
Iter 038000/100000. train loss : 2.460. valid loss : 2.463. lr : 0.00100. uptime : 00h56min. ETA : 01h31min.
Iter 038200/100000. train loss : 2.462. valid loss : 2.463. lr : 0.00100. uptime : 00h56min. ETA : 01h29min.
Iter 038400/100000. train loss : 2.462. valid loss : 2.464. lr : 0.00100. uptime : 00h57min. ETA : 01h28min.
Iter 038600/100000. train loss : 2.458. valid loss : 2.462. lr : 0.00100. uptime : 00h57min. ETA : 01h28min.
Iter 038800/100000. train loss : 2.464. valid loss : 2.466. lr : 0.00100. uptime : 00h57min. ETA : 01h28min.
Iter 039000/100000. train loss : 2.468. valid loss : 2.465. lr : 0.00100. uptime : 00h57min. ETA : 01h30min.
Iter 039200/100000. train loss : 2.469. valid loss : 2.464. lr : 0.00100. uptime : 00h58min. ETA : 01h28min.
Iter 039400/100000. train loss : 2.465. valid loss : 2.464. lr : 0.00100. uptime : 00h58min. ETA : 01h27min.
Iter 039600/100000. train loss : 2.451. valid loss : 2.461. lr : 0.00100. uptime : 00h58min. ETA : 01h27min.
Iter 039800/100000. train loss : 2.468. valid loss : 2.463. lr : 0.00100. uptime : 00h59min. ETA : 01h27min.
Iter 040000/100000. train loss : 2.465. valid loss : 2.465. lr : 0.00100. uptime : 00h59min. ETA : 01h29min.
Iter 040200/100000. train loss : 2.471. valid loss : 2.462. lr : 0.00100. uptime : 00h59min. ETA : 01h28min.
Iter 040400/100000. train loss : 2.466. valid loss : 2.464. lr : 0.00100. uptime : 01h00min. ETA : 01h26min.
Iter 040600/100000. train loss : 2.464. valid loss : 2.463. lr : 0.00100. uptime : 01h00min. ETA : 01h26min.
Iter 040800/100000. train loss : 2.462. valid loss : 2.464. lr : 0.00100. uptime : 01h00min. ETA : 01h25min.
Iter 041000/100000. train loss : 2.469. valid loss : 2.462. lr : 0.00100. uptime : 01h00min. ETA : 01h27min.
Iter 041200/100000. train loss : 2.469. valid loss : 2.464. lr : 0.00100. uptime : 01h01min. ETA : 01h25min.
Iter 041400/100000. train loss : 2.474. valid loss : 2.464. lr : 0.00100. uptime : 01h01min. ETA : 01h24min.
Iter 041600/100000. train loss : 2.464. valid loss : 2.462. lr : 0.00100. uptime : 01h01min. ETA : 01h24min.
Iter 041800/100000. train loss : 2.456. valid loss : 2.465. lr : 0.00100. uptime : 01h02min. ETA : 01h24min.
Iter 042000/100000. train loss : 2.459. valid loss : 2.462. lr : 0.00100. uptime : 01h02min. ETA : 01h26min.
Iter 042200/100000. train loss : 2.459. valid loss : 2.464. lr : 0.00100. uptime : 01h02min. ETA : 01h23min.
Iter 042400/100000. train loss : 2.457. valid loss : 2.462. lr : 0.00100. uptime : 01h02min. ETA : 01h23min.
